MatchDate,HomeTeam,AwayTeam,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Referee,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,Home,Draw,Away
27/08/2002,Arsenal,West Brom,5,2,H,3,0,H,P Durkin,10,8,8,6,9,9,1,1,3,2,0,0,1.17,5.5,13,1.15,6.5,12,1.2,5,10,1.2,5,11,1.18,6,13,1.17,5.5,13,1.178333333,5.583333333,12
27/08/2002,Charlton,Tottenham,0,1,A,0,1,A,A Wiley,10,7,5,1,9,23,6,9,1,2,0,0,2.4,3.2,2.6,2.5,3.25,2.5,2.3,3,2.7,2.4,3.25,2.5,2.5,3.2,2.62,2.5,3.2,2.5,2.433333333,3.183333333,2.57
28/08/2002,Aston Villa,Man City,1,0,H,0,0,D,D Pugh,11,7,6,1,13,11,5,4,1,3,0,0,2.2,3.25,2.8,2.25,3.2,2.85,2.1,3,3.1,2.2,3.25,2.75,2.25,3.25,2.9,2.25,3.25,2.75,2.208333333,3.2,2.858333333
28/08/2002,Blackburn,Liverpool,2,2,D,1,1,D,S Bennett,7,5,4,3,17,10,5,2,3,1,0,0,3,3.25,2.1,3,3.25,2.15,2.8,2.9,2.3,3.4,3.25,1.91,3,3.25,2.2,3.25,3.25,2,3.075,3.191666667,2.11
28/08/2002,Everton,Birmingham,1,1,D,0,0,D,E Wolstenholme,11,5,4,2,18,12,7,4,0,3,1,0,1.67,3.4,4.5,1.65,3.3,5,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.4,5.5,1.67,3.4,4.5,1.646666667,3.358333333,4.766666667
28/08/2002,Leeds,Sunderland,0,1,A,0,0,D,M Halsey,20,9,9,4,13,11,8,1,2,0,0,0,1.5,3.4,6.5,1.4,3.8,7.5,1.4,3.9,6,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,7,1.446666667,3.65,6.666666667
28/08/2002,Southampton,Chelsea,1,1,D,0,0,D,C Foy,12,10,4,3,16,11,5,6,2,1,0,0,3,3.25,2.1,3,3.25,2.15,3.2,3.1,2,2.75,3.25,2.2,3,3.25,2.2,3,3.25,2.1,2.991666667,3.225,2.125
31/08/2002,Birmingham,Leeds,2,1,H,1,0,H,P Durkin,9,8,5,6,14,16,2,5,3,3,0,0,4,3.25,1.8,4.2,3.42,1.91,3.5,3.1,1.9,4.333,3.4,1.667,4,3.2,1.8,4,3.25,1.85,4.0055,3.27,1.821166667
31/08/2002,Man City,Everton,3,1,H,2,1,H,B Knight,7,14,6,8,12,11,7,6,1,0,1,0,1.727,3.25,4.333,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4,1.8,3.2,4,1.85,3.25,4,1.796166667,3.216666667,4.038833333
31/08/2002,Middlesboro,Blackburn,1,0,H,0,0,D,M Halsey,7,10,3,7,19,16,8,6,3,3,0,0,2.2,3.25,2.8,2.22,3,3.2,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.9,2.22,3.166666667,2.883333333
31/08/2002,Sunderland,Man United,1,1,D,0,1,A,U Rennie,12,20,5,10,13,16,6,8,1,2,0,1,5,3.4,1.615,5.6,3.6,1.6,4.4,3.3,1.65,4.5,3.25,1.667,5,3.5,1.57,5.5,3.4,1.615,5,3.408333333,1.6195
31/08/2002,Tottenham,Southampton,2,1,H,1,1,D,M Dean,18,15,8,8,16,13,12,6,3,1,0,1,1.667,3.4,4.5,1.63,3.45,5,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.615,3.4,5.5,1.6255,3.408333333,4.9
31/08/2002,West Brom,Fulham,1,0,H,0,0,D,R Styles,8,6,5,1,17,16,5,7,4,3,0,0,2.625,3.2,2.375,2.85,3.2,2.32,2.7,3,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.875,3.2,2.3,2.766666667,3.175,2.290833333
31/08/2002,West Ham,Charlton,0,2,A,0,2,A,J Winter,9,5,4,3,11,15,8,6,3,1,0,0,1.727,3.5,4,1.73,3.4,4.2,1.7,3.2,4.2,1.667,3.4,4.333,1.73,3.25,4.33,1.8,3.25,4.333,1.725666667,3.333333333,4.232666667
01/09/2002,Bolton,Aston Villa,1,0,H,0,0,D,S Dunn,13,12,6,5,9,11,4,5,2,3,0,0,2.5,3,2.625,2.53,3.15,2.7,2.4,3,2.6,2.6,3.2,2.375,2.63,3.2,2.38,2.5,3.2,2.625,2.526666667,3.125,2.550833333
01/09/2002,Chelsea,Arsenal,1,1,D,1,0,H,A D'Urso,8,8,2,5,20,16,6,2,5,2,0,1,3,3,2.25,2.88,3.25,2.4,2.7,3,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.9,3.2,2.25,2.838333333,3.15,2.275
02/09/2002,Liverpool,Newcastle,2,2,D,0,0,D,G Poll,22,11,11,6,7,25,12,3,1,2,0,0,1.615,3.4,5,1.67,3.56,4.86,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.667,3.4,5,1.632166667,3.426666667,4.876666667
03/09/2002,Man United,Middlesboro,1,0,H,1,0,H,M Riley,7,5,1,3,13,12,4,6,1,2,0,0,1.333,4,9,1.33,4.68,9,1.35,4,7,1.286,4.5,8,1.29,4.5,8.5,1.333,4.5,8.5,1.320333333,4.363333333,8.333333333
10/09/2002,Arsenal,Man City,2,1,H,2,1,H,C Wilkes,13,5,5,4,16,14,7,6,1,2,0,1,1.333,4.333,7.5,1.43,4.2,8,1.3,4.2,8,1.3,4.333,8,1.33,4,8.5,1.333,4.5,8,1.337666667,4.261,8
10/09/2002,Middlesboro,Sunderland,3,0,H,2,0,H,A Wiley,9,8,7,6,16,12,6,8,3,3,0,0,2.1,3,3.25,2.11,3.05,3.45,2,3,3.3,2,3,3.4,1.91,3,3.75,2.1,3.1,3.4,2.036666667,3.025,3.425
11/09/2002,Aston Villa,Charlton,2,0,H,0,0,D,G Poll,12,8,5,2,16,16,6,2,0,1,0,0,1.8,3.25,4,1.96,3.25,4.12,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.85,3.25,4,1.874833333,3.216666667,3.811666667
11/09/2002,Blackburn,Chelsea,2,3,A,2,1,H,M Riley,11,14,6,9,15,16,9,4,2,3,0,0,2.5,3.2,2.5,2.61,3,2.7,2.5,3,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.7,2.518333333,3.116666667,2.566666667
11/09/2002,Fulham,Tottenham,3,2,H,0,2,A,M Halsey,13,7,8,4,8,11,9,6,0,1,0,0,2.375,3.2,2.625,2.55,3.2,2.6,2.5,3,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.4,3.1,2.8,2.45,3.15,2.604166667
11/09/2002,Liverpool,Birmingham,2,2,D,1,0,H,N Barry,12,6,10,3,6,10,1,2,0,1,0,0,1.25,4.5,11,1.27,4.6,12,1.25,4.5,9,1.333,3.75,9,1.25,4.5,10,1.286,4.6,10,1.273166667,4.408333333,10.16666667
11/09/2002,Man United,Bolton,0,1,A,0,0,D,G Barber,23,10,14,8,10,11,9,6,1,2,0,0,1.2,5.5,10,1.24,5.5,12.5,1.25,4.5,9,1.222,5,10,1.2,5.5,11,1.2,5.5,12,1.218666667,5.25,10.75
